"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 07 00:35:54 MSK 2023","Thu Sep 07 00:35:54 MSK 2023","206","","MakeOrderTest","","MakeOrderTest","createOrderExpectOk[2]","Create orders with different colors",""
"passed","Thu Sep 07 00:34:51 MSK 2023","Thu Sep 07 00:34:51 MSK 2023","89","","CourierLogInTest","","CourierLogInTest","courierIncorrectPasswordExpectError","Create courier with incorrect password, result error",""
"passed","Thu Sep 07 00:35:52 MSK 2023","Thu Sep 07 00:35:53 MSK 2023","325","","CreateCourierTest","","CreateCourierTest","createCourierWithoutFirstnameExpectOk","Create courier with correct login, password and without firstname, result ok",""
"passed","Thu Sep 07 00:35:54 MSK 2023","Thu Sep 07 00:35:54 MSK 2023","234","","MakeOrderTest","","MakeOrderTest","createOrderExpectOk[3]","Create orders with different colors",""
"passed","Thu Sep 07 00:35:53 MSK 2023","Thu Sep 07 00:35:53 MSK 2023","236","","MakeOrderTest","","MakeOrderTest","createOrderExpectOk[0]","Create orders with different colors",""
"passed","Thu Sep 07 00:34:51 MSK 2023","Thu Sep 07 00:34:51 MSK 2023","149","","CourierLogInTest","","CourierLogInTest","courierIncorrectLoginExpectError","Create courier with incorrect login, result error",""
"passed","Thu Sep 07 00:34:51 MSK 2023","Thu Sep 07 00:34:51 MSK 2023","79","","CourierLogInTest","","CourierLogInTest","courierLogInExpectOk","Create courier with correct login and password, result ok",""
"passed","Thu Sep 07 00:34:51 MSK 2023","Thu Sep 07 00:34:51 MSK 2023","83","","CourierLogInTest","","CourierLogInTest","courierNoLoginExpectError","Create courier without login, result error",""
"passed","Thu Sep 07 00:35:52 MSK 2023","Thu Sep 07 00:35:52 MSK 2023","332","","CreateCourierTest","","CreateCourierTest","createCourierExpectOk","Create courier with correct login, password and firstName, result ok",""
"passed","Thu Sep 07 00:35:53 MSK 2023","Thu Sep 07 00:35:53 MSK 2023","100","","CourierNoParametersCreatingTest","","CourierNoParametersCreatingTest","createCourierWithoutPasswordError","createCourierWithoutPasswordError",""
"passed","Thu Sep 07 00:35:53 MSK 2023","Thu Sep 07 00:35:53 MSK 2023","122","","CourierNoParametersCreatingTest","","CourierNoParametersCreatingTest","createCourierWithoutLoginError","createCourierWithoutLoginError",""
"broken","Thu Sep 07 00:34:51 MSK 2023","Thu Sep 07 00:35:51 MSK 2023","60194","","CourierLogInTest","","CourierLogInTest","courierNoPasswordExpectError","Create courier without password, result error","тест не проходит, так как, видимо, баг (обсуждалось в общем чате потока)"
"passed","Thu Sep 07 00:35:52 MSK 2023","Thu Sep 07 00:35:52 MSK 2023","539","","CreateCourierTest","","CreateCourierTest","createSameCourierExpectError","Create courier with the same login, result error",""
"passed","Thu Sep 07 00:34:33 MSK 2023","Thu Sep 07 00:34:50 MSK 2023","17154","","ListOfOrdersTest","","ListOfOrdersTest","listOfOrdersExpectNotEmpty","Check that list of orders is not empty",""
"passed","Thu Sep 07 00:35:53 MSK 2023","Thu Sep 07 00:35:53 MSK 2023","120","","CourierNoParametersCreatingTest","","CourierNoParametersCreatingTest","createCourierWithoutPasswordWithoutLoginError","createCourierWithoutPasswordWithoutLoginError",""
"passed","Thu Sep 07 00:34:51 MSK 2023","Thu Sep 07 00:34:51 MSK 2023","99","","CourierLogInTest","","CourierLogInTest","courierEmptyPasswordExpectError","Create courier with empty password, result error",""
"passed","Thu Sep 07 00:35:53 MSK 2023","Thu Sep 07 00:35:54 MSK 2023","205","","MakeOrderTest","","MakeOrderTest","createOrderExpectOk[1]","Create orders with different colors",""
